                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.56865,                0.96253,                0.99861,                0.97117,                0.82773,                0.88802,                0.73249,                0.70256,                0.87625,                 1.1058,             0.00090496,             0.00090496,             0.00090496
                     98,                0.54602,                0.92553,                0.99646,                0.95876,                0.84842,                0.88802,                0.75171,                0.67848,                0.84619,                  1.097,             0.00090397,             0.00090397,             0.00090397
                     99,                0.53782,                0.92299,                0.98006,                0.93456,                0.82025,                0.88385,                0.75715,                0.67059,                0.82403,                 1.1036,             0.00090298,             0.00090298,             0.00090298
                    100,                0.53035,                0.94133,                 1.0073,                0.96319,                0.81163,                0.88386,                0.74118,                0.68916,                0.78807,                 1.1095,             0.00090199,             0.00090199,             0.00090199
                    101,                0.54036,                0.92607,                0.99209,                0.95344,                 0.8187,                0.88802,                0.75369,                0.69429,                0.77935,                 1.1151,               0.000901,               0.000901,               0.000901
                    102,                0.53609,                 0.8914,                 0.9752,                0.96104,                0.79904,                0.88802,                0.75987,                0.68996,                0.79254,                 1.1123,             0.00090001,             0.00090001,             0.00090001
                    103,                 0.5384,                0.94286,                0.98883,                0.94607,                0.82427,                0.88819,                0.74149,                0.72004,                0.81605,                   1.12,             0.00089902,             0.00089902,             0.00089902
                    104,                  0.533,                0.90672,                0.98077,                0.96307,                0.80132,                0.88493,                0.73687,                0.70979,                0.84852,                   1.11,             0.00089803,             0.00089803,             0.00089803
                    105,                0.55565,                0.94541,                 1.0137,                0.94363,                0.82266,                 0.8847,                0.72947,                0.70937,                 0.8499,                 1.1059,             0.00089704,             0.00089704,             0.00089704
                    106,                0.54645,                0.90505,                0.97709,                0.95694,                0.82882,                0.88462,                 0.7404,                0.70725,                0.85977,                  1.098,             0.00089605,             0.00089605,             0.00089605
                    107,                0.53953,                0.92618,                 1.0027,                0.95716,                0.86019,                0.89892,                0.75564,                0.69327,                0.82817,                 1.0953,             0.00089506,             0.00089506,             0.00089506
                    108,                0.54044,                0.89627,                0.99553,                0.95115,                0.84183,                 0.8887,                0.75015,                0.67851,                0.78725,                  1.089,             0.00089407,             0.00089407,             0.00089407
                    109,                 0.5368,                0.90323,                0.99493,                  0.905,                0.85818,                0.88464,                0.73105,                  0.701,                0.80061,                 1.1007,             0.00089308,             0.00089308,             0.00089308
                    110,                 0.5329,                0.89622,                0.98103,                0.89616,                0.84163,                0.89075,                0.74811,                0.69444,                0.82735,                 1.0929,             0.00089209,             0.00089209,             0.00089209
                    111,                0.54679,                0.92544,                0.99176,                0.76748,                0.96552,                 0.9112,                0.75845,                0.71593,                0.82288,                  1.114,              0.0008911,              0.0008911,              0.0008911
                    112,                0.52035,                0.92079,                0.98886,                0.90512,                0.82908,                 0.8906,                0.73524,                0.70332,                0.82164,                 1.1037,             0.00089011,             0.00089011,             0.00089011
                    113,                0.52654,                0.90228,                0.98546,                0.88876,                0.85813,                0.88026,                0.71839,                0.73751,                0.83585,                 1.1252,             0.00088912,             0.00088912,             0.00088912
                    114,                0.49395,                0.86241,                0.97203,                 0.9016,                0.85344,                0.88037,                0.72941,                 0.7179,                0.84323,                 1.1199,             0.00088813,             0.00088813,             0.00088813
                    115,                0.54815,                0.88783,                0.99787,                0.91225,                0.80919,                0.87378,                0.72909,                0.70206,                0.83859,                 1.1178,             0.00088714,             0.00088714,             0.00088714
                    116,                0.53604,                0.87688,                 1.0089,                 0.9282,                0.81489,                0.87344,                0.73368,                0.70605,                0.83858,                  1.126,             0.00088615,             0.00088615,             0.00088615
                    117,                0.52937,                0.90709,                 1.0049,                0.91675,                0.83157,                0.88385,                0.74544,                0.67548,                0.82872,                 1.1089,             0.00088516,             0.00088516,             0.00088516
                    118,                0.52115,                0.85994,                0.97223,                0.90534,                0.82983,                0.87683,                0.75025,                0.69082,                0.81981,                 1.1219,             0.00088417,             0.00088417,             0.00088417
                    119,                0.54342,                0.86146,                0.99343,                0.88212,                0.83674,                0.87683,                0.74882,                0.70097,                0.81945,                 1.1314,             0.00088318,             0.00088318,             0.00088318
                    120,                0.53145,                0.86019,                0.97079,                0.89735,                0.83154,                0.88719,                0.75108,                0.70135,                0.83968,                 1.1268,             0.00088219,             0.00088219,             0.00088219
                    121,                0.52679,                0.84585,                0.98906,                0.97875,                0.78599,                0.97636,                0.84853,                0.69429,                0.82383,                 1.1116,              0.0008812,              0.0008812,              0.0008812
                    122,                0.51661,                0.84455,                0.97807,                0.90327,                0.82543,                0.88303,                0.75052,                0.70315,                0.82434,                 1.1195,             0.00088021,             0.00088021,             0.00088021
                    123,                0.51648,                0.90342,                0.97735,                0.96196,                0.81503,                0.89345,                0.76304,                0.68434,                0.79039,                 1.1016,             0.00087922,             0.00087922,             0.00087922
                    124,                0.49293,                0.82449,                0.96044,                0.96084,                0.78353,                0.89761,                0.75343,                0.68595,                0.81806,                 1.0995,             0.00087823,             0.00087823,             0.00087823
                    125,                0.50027,                0.87667,                0.98687,                0.95706,                0.78787,                0.89696,                0.76472,                0.69567,                0.83737,                 1.1035,             0.00087724,             0.00087724,             0.00087724
                    126,                0.52788,                0.86366,                0.97811,                 0.9266,                0.81696,                0.88308,                 0.7435,                0.70315,                0.83509,                 1.1074,             0.00087625,             0.00087625,             0.00087625
                    127,                 0.5147,                 0.8614,                0.97769,                0.95962,                0.77736,                0.87969,                0.72643,                0.70675,                0.82298,                 1.1211,             0.00087526,             0.00087526,             0.00087526
                    128,                0.51809,                0.85787,                0.98651,                0.96696,                0.75421,                0.87969,                0.72713,                0.72175,                0.84209,                 1.1425,             0.00087427,             0.00087427,             0.00087427
                    129,                0.49851,                0.82484,                0.98359,                 0.8947,                 0.8344,                0.89005,                0.73435,                0.70502,                0.81923,                 1.1234,             0.00087328,             0.00087328,             0.00087328
                    130,                0.52636,                 0.8625,                0.98928,                0.74634,                0.84222,                0.87475,                0.72318,                0.72285,                0.84111,                 1.1266,             0.00087229,             0.00087229,             0.00087229
                    131,                0.53455,                0.85788,                0.99231,                0.95665,                0.74893,                0.86888,                0.72172,                0.71569,                0.91219,                 1.1287,              0.0008713,              0.0008713,              0.0008713
